Time,a_x,s_x,s_x_int,omega,T_corrected,T_request
0,-0.0047851,0,0,9.9206,0,37.031
0.001,-0.0052537,-0.00092549,-0.00013889,9.9173,0,37.031
0.002,-0.0065831,-0.0017501,-0.00027866,9.9143,0,37.031
0.003,-0.0086577,-0.0024659,-0.00041921,9.9118,0,37.031
0.004,-0.011361,-0.0030665,-0.00056044,9.9096,0,37.031
0.005,-0.014578,-0.0035471,-0.00070224,9.9078,0,37.031
0.006,-0.018195,-0.0039042,-0.0008445,9.9065,0,37.031
0.007,-0.0221,-0.0041357,-0.00098709,9.9056,0,37.031
0.008,-0.026186,-0.0042409,-0.0011299,9.9051,0,37.031
0.009,-0.03035,-0.0042204,-0.0012728,9.9051,0,37.031
0.01,-0.034496,-0.004076,-0.0014157,9.9055,0,37.031
0.011,-0.03853,-0.0038105,-0.0015585,9.9063,0,37.031
0.012,-0.042368,-0.003428,-0.001701,9.9075,0,37.031
0.013,-0.045931,-0.0029331,-0.0018431,9.9091,0,37.031
0.014,-0.049147,-0.0023318,-0.0019848,9.9111,0,37.031
0.015,-0.051953,-0.0016304,-0.0021258,9.9134,0,37.031
0.016,-0.054291,-0.00083603,-0.0022663,9.9161,0,37.031
0.017,-0.056113,4.37E-05,-0.0024059,9.919,0,37.031
0.018,-0.057378,0.0010006,-0.0025447,9.9223,0,37.031
0.019,-0.058053,0.0020264,-0.0026827,9.9257,0,37.031
0.02,-0.058113,0.0031124,-0.0028196,9.9294,0,37.031
0.021,-0.057539,0.0042499,-0.0029555,9.9332,0,37.031
0.022,-0.056321,0.0054301,-0.0030903,9.9372,0,37.031
0.023,-0.054457,0.0066441,-0.003224,9.9414,0,37.031
0.024,-0.051948,0.0078835,-0.0033565,9.9456,0,37.031
0.025,-0.048805,0.0091398,-0.0034879,9.9499,0,37.031
0.026,-0.045043,0.010405,-0.003618,9.9543,0,37.031
0.027,-0.040683,0.011671,-0.003747,9.9587,0,37.031
0.028,-0.035751,0.012932,-0.0038748,9.963,0,37.031
0.029,-0.030276,0.014179,-0.0040013,9.9674,0,37.031
0.03,-0.024292,0.015407,-0.0041267,9.9716,0,37.031
0.031,-0.017835,0.01661,-0.0042509,9.9759,0,37.031
0.032,-0.010944,0.017783,-0.0043739,9.98,0,37.031
0.033,-0.0036602,0.018921,-0.0044958,9.984,0,37.031
0.034,0.0039753,0.020021,-0.0046167,9.988,0,37.031
0.035,0.011919,0.021079,-0.0047365,9.9918,0,37.031
0.036,0.020129,0.022092,-0.0048553,9.9954,0,37.031
0.037,0.028561,0.023058,-0.0049732,9.999,0,37.031
0.038,0.037174,0.023976,-0.0050901,10.002,0,37.031
0.039,0.045927,0.024844,-0.0052062,10.006,0,37.031
0.04,0.054779,0.025662,-0.0053214,10.009,0,37.031
0.041,0.063693,0.026431,-0.0054358,10.012,0,37.031
0.042,0.072633,0.02715,-0.0055496,10.015,0,37.031
0.043,0.081563,0.027822,-0.0056626,10.017,0,37.031
0.044,0.090454,0.028446,-0.0057751,10.02,0,37.031
0.045,0.099274,0.029025,-0.0058869,10.022,0,37.031
0.046,0.108,0.029561,-0.0059982,10.024,0,37.031
0.047,0.1166,0.030056,-0.0061089,10.027,0,37.031
0.048,0.12506,0.030513,-0.0062193,10.029,0,37.031
0.049,0.13336,0.030935,-0.0063292,10.031,0,37.031
0.05,0.14148,0.031325,-0.0064386,10.032,0,37.031
0.051,0.14942,0.031685,-0.0065478,10.034,0,37.031
0.052,0.15715,0.03202,-0.0066566,10.036,0,37.031
0.053,0.16466,0.032331,-0.0067651,10.038,0,37.031
0.054,0.17197,0.032624,-0.0068733,10.039,0,37.031
0.055,0.17905,0.032901,-0.0069812,10.041,0,37.031
0.056,0.18591,0.033165,-0.0070889,10.043,0,37.031
0.057,0.19255,0.03342,-0.0071963,10.044,0,37.031
0.058,0.19896,0.033668,-0.0073035,10.046,0,37.031
0.059,0.20517,0.033913,-0.0074105,10.047,0,37.031
0.06,0.21117,0.034159,-0.0075172,10.049,0,37.031
0.061,0.21696,0.034406,-0.0076237,10.051,0,37.031
0.062,0.22256,0.034659,-0.00773,10.052,0,37.031
0.063,0.22798,0.03492,-0.0078361,10.054,0,37.031
0.064,0.23323,0.035191,-0.0079419,10.056,0,37.031
0.065,0.23832,0.035473,-0.0080475,10.058,0,37.031
0.066,0.24326,0.03577,-0.0081529,10.06,0,37.031
0.067,0.24807,0.036082,-0.0082579,10.062,0,37.031
0.068,0.25276,0.036411,-0.0083627,10.064,0,37.031
0.069,0.25734,0.036758,-0.0084672,10.066,0,37.031
0.07,0.26182,0.037125,-0.0085714,10.068,0,37.031
0.071,0.26623,0.037511,-0.0086752,10.07,0,37.031
0.072,0.27058,0.037919,-0.0087787,10.073,0,37.031
0.073,0.27487,0.038348,-0.0088818,10.075,0,37.031
0.074,0.27912,0.038798,-0.0089845,10.078,0,37.031
0.075,0.28334,0.039269,-0.0090868,10.081,0,37.031
0.076,0.28755,0.039763,-0.0091886,10.083,0,37.031
0.077,0.29175,0.040277,-0.00929,10.086,0,37.031
0.078,0.29596,0.040812,-0.009391,10.089,0,37.031
0.079,0.30018,0.041368,-0.0094914,10.092,0,37.031
0.08,0.30443,0.041943,-0.0095913,10.095,0,37.031
0.081,0.30871,0.042537,-0.0096907,10.099,0,37.031
0.082,0.31303,0.04315,-0.0097895,10.102,0,37.031
0.083,0.31738,0.043748,-0.0098878,10.105,0,37.031
0.084,0.32176,0.044275,-0.0099855,10.108,0,37.031
0.085,0.3261,0.044727,-0.010083,10.111,0,37.031
0.086,0.33039,0.045105,-0.01018,10.113,0,37.031
0.087,0.33459,0.045409,-0.010276,10.116,0,37.031
0.088,0.33866,0.045642,-0.010372,10.118,0,37.031
0.089,0.34259,0.045805,-0.010468,10.12,0,37.031
0.09,0.34634,0.045901,-0.010564,10.121,0,37.031
0.091,0.3499,0.045932,-0.01066,10.123,0,37.031
0.092,0.35325,0.045903,-0.010756,10.124,0,37.031
0.093,0.35636,0.045816,-0.010852,10.125,0,37.031
0.094,0.35924,0.045675,-0.010948,10.125,0,37.031
0.095,0.36187,0.045485,-0.011044,10.126,0,37.031
0.096,0.36423,0.045249,-0.01114,10.126,0,37.031
0.097,0.36633,0.044971,-0.011236,10.127,0,37.031
0.098,0.36816,0.044657,-0.011333,10.127,0,37.031
0.099,0.36971,0.04431,-0.01143,10.127,0,37.031
0.1,0.371,0.043935,-0.011528,10.127,0,37.031
0.101,0.37201,0.043537,-0.011626,10.127,0,37.031
