Time,a_x,s_x,s_x_int,omega,T_corrected,T_request
0,-0.0047851,0,0,9.9206,0,35.727
0.001,-0.0059869,-0.00092294,-0.00013889,9.9173,0,35.727
0.002,-0.0093791,-0.0017306,-0.00027865,9.9144,0,35.727
0.003,-0.014618,-0.0024032,-0.00041919,9.912,0,35.727
0.004,-0.021333,-0.0029254,-0.00056036,9.91,0,35.727
0.005,-0.029143,-0.0032867,-0.00070202,9.9087,0,35.727
0.006,-0.037662,-0.0034812,-0.00084403,9.9078,0,35.727
0.007,-0.046508,-0.0035073,-0.00098622,9.9076,0,35.727
0.008,-0.055318,-0.003368,-0.0011284,9.9079,0,35.727
0.009,-0.063748,-0.0030704,-0.0012705,9.9088,0,35.727
0.01,-0.071486,-0.002625,-0.0014123,9.9101,0,35.727
0.011,-0.078253,-0.0020456,-0.0015537,9.9119,0,35.727
0.012,-0.083811,-0.0013489,-0.0016945,9.9141,0,35.727
0.013,-0.087966,-0.00055318,-0.0018346,9.9166,0,35.727
0.014,-0.090567,0.00032125,-0.001974,9.9195,0,35.727
0.015,-0.091512,0.0012534,-0.0021126,9.9225,0,35.727
0.016,-0.090743,0.0022217,-0.0022502,9.9256,0,35.727
0.017,-0.088249,0.0032051,-0.002387,9.9288,0,35.727
0.018,-0.08406,0.0041829,-0.0025228,9.932,0,35.727
0.019,-0.078246,0.0051359,-0.0026576,9.9351,0,35.727
0.02,-0.070913,0.0060463,-0.0027916,9.9381,0,35.727
0.021,-0.062197,0.0068983,-0.0029247,9.9409,0,35.727
0.022,-0.052259,0.0076786,-0.0030569,9.9434,0,35.727
0.023,-0.041281,0.008376,-0.0031885,9.9458,0,35.727
0.024,-0.029458,0.0089822,-0.0033193,9.9478,0,35.727
0.025,-0.016995,0.0094916,-0.0034496,9.9495,0,35.727
0.026,-0.0040997,0.0099012,-0.0035794,9.951,0,35.727
0.027,0.0090227,0.010211,-0.0037088,9.9521,0,35.727
0.028,0.022173,0.010422,-0.003838,9.9529,0,35.727
0.029,0.035165,0.01054,-0.0039669,9.9534,0,35.727
0.03,0.047824,0.010571,-0.0040957,9.9537,0,35.727
0.031,0.059998,0.010524,-0.0042245,9.9537,0,35.727
0.032,0.071554,0.010408,-0.0043533,9.9535,0,35.727
0.033,0.08238,0.010235,-0.0044822,9.9532,0,35.727
0.034,0.092393,0.010017,-0.0046113,9.9527,0,35.727
0.035,0.10153,0.0097655,-0.0047407,9.9522,0,35.727
0.036,0.10976,0.0094946,-0.0048702,9.9516,0,35.727
0.037,0.11707,0.0092166,-0.0050001,9.951,0,35.727
0.038,0.12348,0.0089435,-0.0051302,9.9504,0,35.727
0.039,0.12901,0.0086869,-0.0052605,9.95,0,35.727
0.04,0.13373,0.0084573,-0.0053911,9.9496,0,35.727
0.041,0.1377,0.0082639,-0.005522,9.9494,0,35.727
0.042,0.14102,0.0081148,-0.005653,9.9494,0,35.727
0.043,0.14378,0.0080164,-0.0057842,9.9495,0,35.727
0.044,0.14608,0.0079735,-0.0059155,9.9499,0,35.727
0.045,0.14804,0.0079892,-0.0060468,9.9505,0,35.727
0.046,0.14977,0.0080652,-0.0061781,9.9513,0,35.727
0.047,0.15138,0.0082015,-0.0063093,9.9523,0,35.727
0.048,0.15297,0.0083964,-0.0064405,9.9536,0,35.727
0.049,0.15466,0.0086472,-0.0065714,9.955,0,35.727
0.05,0.15653,0.0089496,-0.0067022,9.9566,0,35.727
0.051,0.15866,0.0092984,-0.0068326,9.9584,0,35.727
0.052,0.16112,0.0096875,-0.0069627,9.9604,0,35.727
0.053,0.16398,0.01011,-0.0070925,9.9625,0,35.727
0.054,0.16726,0.010559,-0.0072218,9.9647,0,35.727
0.055,0.17101,0.011026,-0.0073508,9.967,0,35.727
0.056,0.17524,0.011504,-0.0074793,9.9693,0,35.727
0.057,0.17995,0.011986,-0.0076074,9.9716,0,35.727
0.058,0.18513,0.012464,-0.007735,9.974,0,35.727
0.059,0.19075,0.012931,-0.0078622,9.9763,0,35.727
0.06,0.1968,0.013382,-0.0079889,9.9786,0,35.727
0.061,0.20323,0.013811,-0.0081152,9.9809,0,35.727
0.062,0.20998,0.014213,-0.0082411,9.9831,0,35.727
0.063,0.21701,0.014584,-0.0083667,9.9852,0,35.727
0.064,0.22427,0.014923,-0.0084919,9.9871,0,35.727
0.065,0.23168,0.015227,-0.0086168,9.989,0,35.727
0.066,0.2392,0.015495,-0.0087414,9.9908,0,35.727
0.067,0.24677,0.015728,-0.0088658,9.9925,0,35.727
0.068,0.25433,0.015926,-0.0089899,9.9941,0,35.727
0.069,0.26182,0.016091,-0.0091139,9.9957,0,35.727
0.07,0.26921,0.016226,-0.0092378,9.9971,0,35.727
0.071,0.27644,0.016334,-0.0093615,9.9984,0,35.727
0.072,0.2835,0.016417,-0.0094852,9.9997,0,35.727
0.073,0.29033,0.016481,-0.0096087,10.001,0,35.727
0.074,0.29694,0.01653,-0.0097323,10.002,0,35.727
0.075,0.30329,0.016567,-0.0098558,10.003,0,35.727
0.076,0.3094,0.016598,-0.0099793,10.005,0,35.727
0.077,0.31525,0.016627,-0.010103,10.006,0,35.727
0.078,0.32085,0.016657,-0.010226,10.007,0,35.727
0.079,0.32622,0.016694,-0.01035,10.008,0,35.727
0.08,0.33137,0.016717,-0.010473,10.01,0,35.727
0.081,0.33622,0.016666,-0.010596,10.011,0,35.727
0.082,0.34067,0.016544,-0.01072,10.011,0,35.727
0.083,0.34464,0.016355,-0.010844,10.012,0,35.727
0.084,0.34803,0.016109,-0.010967,10.012,0,35.727
0.085,0.3508,0.015815,-0.011091,10.013,0,35.727
0.086,0.3529,0.015483,-0.011216,10.013,0,35.727
0.087,0.35432,0.015122,-0.01134,10.013,0,35.727
0.088,0.35505,0.014744,-0.011466,10.012,0,35.727
0.089,0.35512,0.014359,-0.011591,10.012,0,35.727
0.09,0.35455,0.013976,-0.011717,10.012,0,35.727
0.091,0.35338,0.013606,-0.011843,10.012,0,35.727
0.092,0.35169,0.013257,-0.01197,10.012,0,35.727
0.093,0.34954,0.012936,-0.012096,10.012,0,35.727
0.094,0.347,0.01265,-0.012224,10.013,0,35.727
0.095,0.34417,0.012405,-0.012351,10.013,0,35.727
0.096,0.34114,0.012204,-0.012479,10.013,0,35.727
0.097,0.33798,0.01205,-0.012607,10.014,0,35.727
0.098,0.33479,0.011945,-0.012735,10.015,0,35.727
